Código do bem;Nome do bem;Natureza;Identificação;Número patrimonial;Data aquisição;Valor para depreciação;Código da conta;Código do indice;Código do fornecedor;Empresa;Tipo da mercadoria;Data da baixa;Número da chapa;Valor original da aquisição;Quantidade;Vida útil (Meses);Funcionalidade;Código do centro de custo;Baixa conforme a depreciação diária;Código SCP;Descrição SCP;Código individualizado do bem;Tipo do lançamento;Data da primeira parcela;Data depreciação;Taxa de depreciação;Data de início do cálculo;Data de fim do cálculo;Valor de aquisição;Contabilização
1;3 COMPUTADORES DELL CELERON;0;0;;11/08/2006;2.964,40;103;1;9092;999;0;;1;2.964,40;;;;;FALSE;;;;;;11/08/2006;20,00;11/08/2006;;2.964,40;1
2;AR CONDICIONADO 21000;0;0;;13/03/2003;1.586,00;98;1;659;999;0;;2;1.586,00;;;;;FALSE;;;;;;13/03/2003;10,00;13/03/2003;;1.586,00;1
3;COMPUTADORES ADQUIRIDOS EM 2000;0;0;;03/09/2000;5.668,90;103;1;9092;999;0;;3;5.668,90;;;;;FALSE;;;;;;03/09/2000;20,00;03/09/2000;;5.668,90;1
4;SOFTWARE ADQUIRIDO EM 2000;0;0;;03/09/2000;2.422,98;130;1;659;999;0;;4;2.422,98;;;;;FALSE;;;;;;03/09/2000;20,00;03/09/2000;;2.422,98;1
4;SOFTWARE ADQUIRIDO EM 2000;0;0;;03/09/2000;2.422,98;130;1;659;999;0;;4;2.422,98;;;;;FALSE;;;;;;03/09/2000;20,00;03/09/2000;;2.422,98;0
5;COMPUTADOR DELL DIMENSION C521 C/ WINDOWS VISTA;0;0;;22/05/2007;1.302,17;103;1;9092;999;0;;5;1.302,17;;;;;FALSE;;;;;;22/05/2007;20,00;22/05/2007;;1.302,17;1
6;COMPUTADOR DELL DIMENSION C521 C/ WINDOWS VISTA;0;0;;22/05/2007;1.302,17;103;1;9092;999;0;;6;1.302,17;;;;;FALSE;;;;;;22/05/2007;20,00;22/05/2007;;1.302,17;1
7;COMPUTADOR OPTPLEX C/ PROCESSADOR CELERON C/ WINDOWS XP;0;0;;13/03/2007;1.140,70;103;1;9092;999;0;;7;1.140,70;;;;;FALSE;;;;;;13/03/2007;20,00;13/03/2007;;1.140,70;1
8;CPU DIMENSION C521 PROCESSADOR AMD SEMPRON 3400 1.8 GHZ;0;0;;14/12/2006;890,51;103;1;9092;999;0;;8;890,51;;;;;FALSE;;;;;;14/12/2006;20,00;14/12/2006;;890,51;1
9;SERVIDOR POWEREDGE 1900;0;0;;17/12/2007;6.741,08;103;1;9092;999;0;;9;6.741,08;;;;;FALSE;;;;;;17/12/2007;20,00;17/12/2007;;6.741,08;1
